iter	Passed	Remaining
0	153	153652
1	155	77557
2	157	52276
3	158	39571
4	161	32056
5	163	27050
6	165	23461
7	168	20857
8	171	18839
9	173	17176
10	176	15841
11	178	14698
12	180	13736
13	182	12885
14	185	12161
15	187	11508
16	189	10936
17	190	10406
18	192	9923
19	194	9510
20	196	9144
21	197	8799
22	200	8497
23	202	8219
24	203	7934
25	204	7671
26	206	7452
27	208	7247
28	210	7042
29	212	6861
30	214	6689
31	215	6522
32	217	6362
33	219	6223
34	220	6087
35	222	5959
36	224	5844
37	226	5744
38	228	5625
39	230	5522
40	232	5434
41	234	5341
42	235	5248
43	237	5166
44	239	5085
45	241	5004
46	243	4931
47	245	4862
48	246	4780
49	246	4691
50	249	4635
51	250	4572
52	252	4510
53	254	4451
54	255	4397
55	257	4343
56	258	4283
57	260	4229
58	262	4183
59	263	4130
60	265	4081
61	266	4037
62	268	3999
63	270	3956
64	272	3913
65	273	3872
66	275	3834
67	276	3783
68	277	3741
69	278	3702
70	279	3662
71	281	3624
72	282	3587
73	283	3553
74	285	3519
75	286	3488
76	288	3458
77	289	3426
78	291	3395
79	292	3365
80	294	3336
81	295	3307
82	296	3279
83	298	3254
84	299	3223
85	300	3198
86	302	3169
87	303	3148
88	305	3123
89	306	3101
90	307	3075
91	309	3050
92	310	3026
93	311	3002
94	312	2978
95	313	2954
96	314	2931
97	315	2907
98	317	2885
99	318	2862
100	319	2841
101	319	2815
102	320	2794
103	321	2773
104	323	2753
105	324	2733
106	325	2714
107	326	2694
108	327	2674
109	328	2654
110	329	2635
111	330	2616
112	331	2599
113	331	2580
114	332	2561
115	333	2543
116	334	2526
117	335	2510
118	336	2492
119	337	2475
120	339	2462
121	340	2450
122	341	2431
123	342	2416
124	343	2401
125	344	2387
126	345	2373
127	345	2356
128	347	2343
129	348	2330
130	349	2318
131	350	2305
132	351	2292
133	352	2280
134	353	2266
135	354	2254
136	356	2243
137	356	2229
138	358	2218
139	359	2207
140	360	2195
141	361	2184
142	362	2173
143	363	2162
144	364	2151
145	365	2140
146	366	2128
147	368	2118
148	369	2108
149	370	2097
150	371	2086
151	372	2076
152	373	2066
153	374	2056
154	375	2046
155	376	2037
156	377	2027
157	378	2018
158	379	2009
159	380	1999
160	382	1992
161	383	1984
