iter	Passed	Remaining
0	144	144357
1	145	72646
2	146	48756
3	147	36841
4	149	29703
5	150	24911
6	152	21569
7	153	19080
8	155	17107
9	156	15530
10	158	14278
11	160	13215
12	161	12285
13	163	11490
14	165	10835
15	166	10228
16	167	9700
17	170	9281
18	171	8858
19	173	8490
20	174	8153
21	176	7846
22	177	7559
23	179	7289
24	180	7039
25	181	6799
26	182	6582
27	183	6382
28	185	6202
29	186	6027
30	187	5862
31	188	5704
32	190	5574
33	191	5438
34	192	5317
35	194	5204
36	195	5094
37	197	4988
38	198	4887
39	199	4791
40	201	4718
41	203	4635
42	204	4556
43	206	4478
44	207	4408
45	209	4334
46	210	4266
47	212	4213
48	214	4158
49	215	4102
50	217	4046
51	219	3995
52	221	3950
53	222	3901
54	224	3854
55	225	3807
56	227	3761
57	229	3730
58	231	3694
59	233	3655
60	235	3618
61	236	3585
62	238	3548
63	240	3511
64	241	3474
65	243	3444
66	245	3416
67	246	3381
68	248	3349
69	249	3316
70	251	3286
71	252	3257
72	254	3228
73	255	3201
74	257	3174
75	258	3146
76	260	3117
77	261	3089
78	262	3065
79	264	3042
80	265	3015
81	267	2989
82	267	2958
83	269	2934
84	270	2910
85	271	2884
86	272	2861
87	273	2839
88	275	2817
89	276	2793
90	277	2769
91	278	2746
92	279	2727
93	280	2707
94	282	2687
95	283	2667
96	284	2647
97	285	2626
98	286	2608
99	287	2590
100	289	2572
101	290	2556
102	291	2540
103	293	2525
104	294	2509
105	295	2493
106	296	2476
107	298	2465
108	299	2449
109	300	2435
110	302	2420
111	303	2404
112	304	2389
113	305	2376
114	307	2364
115	308	2349
116	308	2331
117	309	2316
118	310	2302
119	312	2288
120	313	2276
121	314	2260
122	315	2246
123	316	2232
124	316	2218
125	318	2206
126	318	2192
127	319	2179
128	320	2166
129	322	2155
130	323	2143
131	324	2132
132	325	2121
133	326	2110
134	327	2099
135	328	2087
136	329	2077
137	331	2067
138	332	2057
139	333	2046
140	334	2035
141	334	2023
142	335	2013
143	337	2003
144	338	1993
145	339	1983
146	340	1973
147	341	1964
148	342	1955
149	343	1946
150	344	1937
151	345	1928
152	346	1919
153	347	1911
154	349	1903
155	350	1895
156	351	1887
157	352	1878
158	353	1870
159	354	1862
160	355	1852
161	356	1844
162	357	1836
163	358	1827
164	359	1820
165	360	1812
166	361	1804
167	362	1796
168	364	1790
169	365	1782
170	366	1775
171	367	1768
172	368	1761
173	369	1755
174	370	1747
175	371	1740
176	372	1733
177	374	1727
178	375	1720
179	376	1714
180	377	1707
181	378	1700
182	379	1695
183	381	1689
184	382	1683
185	383	1677
